swing_id,club_type,impact_grip_speed,impact_head_speed,max_head_speed,max_grip_speed,impact_face_angle,impact_face_type,impact_relative_face_angle,impact_club_path,impact_club_path_type,impact_attack_angle,impact_attack_type,impact_dynamic_loft_angle,impact_shaft_angular_velocity,min_angular_velocity,max_angular_velocity,address_lie_angle,impact_lie_angle,natural_uncock,natural_release_timing,swing_tempo,estimated_carry,impact_position_x,impact_position_y,impact_position_type,halfway_back_face_angle,top_face_angle,halfway_down_face_angle,impact_hand_first_pitch,address_hand_first_pitch,hogan_plane,shaft_plane,boundary_angle_a_and_b,boundary_angle_b_and_c,boundary_angle_c_and_d,boundary_angle_d_and_e,halfway_back_angle,top_angle,natural_uncock_angle,halfway_down_angle,halfway_back_area,top_area,natural_uncock_area,halfway_down_area
5e413e321993aec6d5830bb2d5e9b75f,7I,4.314971447,22.09461594,23.32252884,4.844624043,7.801418304,0,14.11613083,-6.314713001,2,-2.169748545,1,32.4462471,-619.8780518,-695.975647,-49.7560997,51.46168518,56.0348587,10.93279076,14.0221405,3.296432972,89.33796692,0.140027583,0.775884271,1,-32.09206772,-99.53515625,-21.18458557,-5.995628357,-9.932022095,67.42823029,51.46168518,71.41986847,63.4365921,55.45332336,47.470047,58.94369125,61.56985855,64.04342651,63.11479187,C,C,B,C
8de8dfbe011c83f735ce8224e56beefd,7I,4.798174858,25.12213898,25.22537041,5.01538372,6.704330921,0,7.965447426,-1.261116505,1,0.195660278,1,34.80492401,-694.1463623,-665.8536987,-58.29268265,50.73790359,52.35191727,4.330849648,13.39387035,3.972758293,101.5795364,0.034385204,0.984279513,1,-24.93730164,-9.419221878,-22.17670059,-5.18127203,-11.3470993,66.99938202,50.73790359,71.06475067,62.93401337,54.80327225,46.67253494,58.65374374,59.30950928,54.37557602,55.12182236,C,C,D,C
00077fba8c579957af1b592133d081ea,7I,5.247457027,25.31291199,25.41159821,5.343481064,18.6686306,0,17.3577919,1.310839295,1,-3.128534317,2,22.57888603,-812.3170776,-757.3170776,-69.5121994,52.02511215,53.77531052,1.797032356,12.16069412,3.713355064,102.350914,1.36872673,-0.532406509,4,-26.31353569,-5.399036407,-9.432980537,-17.51211166,-11.08796597,67.76187134,52.02511215,71.69606018,63.8276825,55.95930099,48.09092331,54.82269669,61.60844803,49.51382065,50.75359344,D,C,D,D
cb6ba5df037ecf44aa7f91f1194ef5e5,7I,5.30102253,24.68264771,25.40555573,5.30102253,13.78754139,0,9.809456825,3.978084564,1,1.449169636,1,29.70220184,-993.0488281,-902.4390259,-21.70731735,53.5379982,56.32926178,0,0,3.917775154,99.80249023,1.330580473,-0.497208685,4,-33.07711029,-24.7624054,-22.1755352,-9.362398148,-10.31262589,68.65690613,53.5379982,72.43663025,64.87718201,57.31772614,49.75827026,60.85536575,65.49443817,0,56.35808563,C,B,E,D
f7e8b5991f497e533abd11f3a4825d3b,7I,5.203511238,24.49432564,24.49432564,5.477754116,26.68856621,0,22.22159958,4.466967583,1,-5.289583683,2,17.11196518,-696.4634399,-654.6341553,24.87804985,51.65868378,57.6747551,5.006485939,10.93167782,3.776397467,99.04102325,1.4205966,-0.639966071,4,-40.93392181,-53.14079285,-20.3978672,-20.64837074,-11.91411495,67.54490662,51.65868378,71.51646423,63.57335281,55.63024139,47.68712616,62.89380264,64.03339386,54.26990509,56.11870193,C,B,D,C
1f95421c73aa3ae2d25896b426c8c821,7I,4.964099407,24.4165802,25.38221741,5.218800545,15.72005463,0,14.55943394,1.160621047,1,0.182540789,1,30.85458946,-988.7805176,-909.7561035,5.853658676,49.72950745,55.68346405,4.880452156,13.88550568,3.922046185,98.72666168,1.507360935,-0.936291516,4,-42.69865036,-43.45074844,-13.24032211,-8.799838066,-12.06762886,66.40140533,49.72950745,70.56938171,62.23343277,53.89748001,45.56153488,60.22756195,62.82645798,50.32661438,52.15005112,C,B,D,D
4fb686cf469b726652e667a8163d5f25,7I,4.928842068,26.13112831,26.13112831,5.073418617,19.77859688,0,11.5375824,8.241014481,0,4.15724802,0,31.17918205,-843.2927246,-802.0731812,-37.80487823,49.7497406,53.19732666,2.849686146,9.341317177,4.455090046,105.659317,2.96126318,-2.240716219,4,-26.06065559,9.053161621,-4.558382988,-9.971455574,-9.975478172,66.413414,49.7497406,70.57933044,62.24749756,53.91565704,45.58382416,51.96928787,60.67340469,41.37861252,47.58413696,D,C,E,D
22af6b672f16766ed882dff3055f4651,7I,5.502047062,25.65580177,25.85153008,5.509245872,16.87483788,0,15.26168251,1.613155365,1,0.552401006,1,29.64382744,-755.2438965,-717.9268188,46.82926941,51.29902267,56.82481384,0.130665302,0.222469404,3.759732962,103.7373657,-0.518118739,1.548724055,1,-25.79780579,21.79052544,-13.45268154,-9.430762291,-12.41726017,67.33187866,51.29902267,71.34009552,63.32366562,55.30723953,47.29080963,53.33124924,65.45427704,-4.571507454,53.32112122,D,B,E,D
ff6c913cd2bd94fe086f3117f2776da7,7I,5.406836033,25.87901878,25.87901878,5.435616493,13.77020264,0,5.58377552,8.186427116,0,2.821092367,1,29.77515221,-724.1463623,-660.6097412,-34.7560997,53.52162552,55.86815643,0.52947998,0.241837978,3.966142654,104.6399307,1.292661786,-0.713023543,4,-42.61284256,-30.15691566,-13.80533218,-9.504060745,-12.39276409,68.64722443,53.52162552,72.42862701,64.86582947,57.30302811,49.74022293,56.16183472,64.26565552,-18.90810776,49.58940125,D,C,E,E
e9407ebc212242425227c40728acfa5c,7I,5.191948891,23.3167057,25.5662365,5.387557507,12.17446518,0,11.84903526,0.325429648,1,1.787866712,1,31.17499924,-871.9512329,-893.9024658,-84.63414764,53.97380066,56.94424057,3.630745411,12.84185505,4.470868111,94.27940369,1.12485683,-0.237629324,4,-28.15225029,-33.09457779,-21.82165909,-7.550533772,-7.779551506,68.91451263,53.97380066,72.64968872,65.17933655,57.70897675,50.23862457,63.7812233,63.92602921,57.30322266,57.95847702,C,C,D,C
6eef8b793f53881dd230b70bfe5ca9d0,7I,4.326219559,23.12988472,23.14327431,5.011152267,8.507432938,0,8.053230286,0.454202294,1,0.070775144,1,30.43212891,-921.4634399,-901.3414917,-33.29268265,55.25980377,54.34394455,13.66816711,9.388097763,3.352891922,93.52400208,2.021669865,-1.288564682,4,-33.04643631,-12.45303249,-14.68577576,-8.563923836,-11.25751877,69.6741333,55.25980377,73.27770996,66.07054901,58.86338425,51.6562233,57.12563324,66.22936249,53.87379074,55.51119995,D,B,D,D
